iter	Passed	Remaining
680	8838	4140
681	8851	4127
682	8864	4114
683	8877	4101
684	8888	4087
685	8901	4074
686	8914	4061
687	8926	4048
688	8939	4035
689	8951	4021
690	8965	4009
691	8979	3996
692	8992	3983
693	9005	3970
694	9019	3958
695	9033	3945
696	9044	3931
697	9058	3919
698	9071	3906
699	9083	3893
700	9097	3880
701	9110	3867
702	9124	3854
703	9135	3841
704	9147	3827
705	9160	3814
706	9172	3801
707	9184	3788
708	9197	3775
709	9208	3761
710	9221	3748
711	9234	3735
712	9247	3722
713	9261	3709
714	9272	3696
715	9285	3682
716	9299	3670
717	9312	3657
718	9324	3644
719	9337	3631
720	9350	3618
721	9363	3605
722	9377	3592
723	9390	3579
724	9404	3567
725	9417	3554
726	9429	3540
727	9441	3527
728	9456	3515
729	9470	3502
730	9487	3491
731	9498	3477
732	9511	3464
733	9523	3451
734	9535	3438
735	9549	3425
736	9561	3412
737	9574	3399
738	9588	3386
739	9604	3374
740	9620	3362
741	9632	3349
742	9645	3336
743	9658	3323
744	9669	3309
745	9682	3296
746	9693	3283
747	9707	3270
748	9720	3257
749	9733	3244
750	9746	3231
751	9759	3218
752	9771	3205
753	9782	3191
754	9796	3178
755	9809	3166
756	9822	3153
757	9836	3140
758	9849	3127
759	9862	3114
760	9876	3101
761	9888	3088
762	9900	3075
763	9913	3062
764	9926	3049
765	9939	3036
766	9953	3023
767	9967	3011
768	9980	2998
769	9994	2985
770	10009	2972
771	10021	2959
772	10034	2946
773	10046	2933
774	10058	2920
775	10070	2906
776	10082	2893
777	10095	2880
778	10108	2867
779	10122	2855
780	10135	2842
781	10148	2829
782	10159	2815
783	10172	2802
784	10185	2789
785	10198	2776
786	10212	2763
787	10225	2751
788	10238	2738
789	10250	2724
790	10263	2711
791	10278	2699
792	10288	2685
793	10303	2673
794	10316	2660
795	10329	2647
796	10341	2634
797	10355	2621
798	10367	2608
799	10380	2595
800	10392	2581
801	10406	2569
802	10420	2556
803	10432	2543
804	10445	2530
805	10459	2517
806	10471	2504
807	10483	2491
808	10496	2478
809	10510	2465
810	10523	2452
811	10535	2439
812	10547	2426
813	10561	2413
814	10574	2400
815	10585	2387
816	10600	2374
817	10613	2361
818	10626	2348
